Gender,Category,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Feature_1,Feature_2,Material_2,Feature_3,Feature_4,Feature_5,Material_3,Material_4,Material_5,Material_6,Feature_6,Feature_7,Feature_8,Material_7,Material_8,Feature_9
women,Leggings & Tights,2019-12-08,36,CALIA by Carrie Underwood Women's Essential High Rise 7/8 Leggings,underwood,41.97,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-high-rise-7-8-leggings-19ca2wssntlhr78lgapb/19ca2wssntlhr78lgapb,all/any Spandex,蒸發性涼感,涼爽透氣,Polyester Blended,結構性透氣,抗菌功能,單向導溼快乾,Spandex <= 10%,,,,,,,,,
women,Pants,2019-12-08,37,Obermeyer Women's Malta Pants,obermeyer,74.50,https://www.dickssportinggoods.com/p/obermeyer-womens-malta-pants-18obemwmltpntxxxxaoa/18obemwmltpntxxxxaoa,Polyester Blended,保暖禦寒,防水,,刷毛布,,,,,,,,,,,,
women,Pants,2019-12-08,38,Nike Sportswear Women's  Tech Fleece Pants,nike,67.50,https://www.dickssportinggoods.com/p/nike-sportswear-womens-tech-fleece-pants-19nikwtchflcpntxxapb/19nikwtchflcpntxxapb,Polyester Blended,保暖禦寒,刷毛布,Cotton Blended,,,,,,,,,,,,,
women,Pants,2019-12-08,39,Under Armour Women's Rival Fleece Sportstyle Graphic Joggers,under_armour,33.75,https://www.dickssportinggoods.com/p/under-armour-womens-rival-fleece-sportstyle-graphic-joggers-19uarwrvlflcgrphcapb/19uarwrvlflcgrphcapb,Cotton Blended,刷毛布,保暖禦寒,Polyester Blended,,,,,,,,,,,,,
women,Leggings & Tights,2019-12-08,40,CALIA by Carrie Underwood Women's Essential Printed Leggings,underwood,38.50,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-printed-leggings-16ca2wclssntlprttapbx/16ca2wclssntlprttapbx,,四面彈,蒸發性涼感,,舒適伸展,舒適平滑縫合,反光功能,,,,,抗菌功能,單向導溼快乾,,,,
women,Leggings & Tights,2019-12-08,41,Nike Women's Leg-A-See JDI Leggings,nike,36.99,https://www.dickssportinggoods.com/p/nike-womens-leg-a-see-jdi-leggings-18nikwjdhwlgsxxxxapb/18nikwjdhwlgsxxxxapb,Spandex 11~20%,,,Polyester Blended,,,,Cotton Blended,all/any Spandex,,,,,,,,
women,Leggings & Tights,2019-12-08,42,CALIA by Carrie Underwood Women's Essential Shine Leggings,underwood,65.00,https://www.dickssportinggoods.com/p/calia-by-carrie-underwood-womens-essential-shine-leggings-19ca2whwssntllggnapb/19ca2whwssntllggnapb,Polyester Blended,結構性透氣,抗菌功能,Spandex 11~20%,單向導溼快乾,蒸發性涼感,,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,43,The North Face Women's Freedom Insulated Snow Pants,the_north_face,160.00,https://www.dickssportinggoods.com/p/the-north-face-womens-freedom-insulated-snow-pants-19tnowwfrdmnslpntapo/19tnowwfrdmnslpntapo,Recycled Polyester / PET,透濕,化纖素材,Recycled Polyester & Blended,涼爽透氣,環保訴求,結構性透氣,100% Polyamide(Nylon),,,,防風機能,防水,,,,
women,Leggings & Tights,2019-12-08,44,Under Armour Women's HeatGear Armour Hi-Rise Leggings,under_armour,31.50,https://www.dickssportinggoods.com/p/under-armour-womens-heatgear-armour-hi-rise-leggings-19uarwhgrmrhrslggapb/19uarwhgrmrhrslggapb,Spandex 11~20%,舒適平滑縫合,提升運動效能設計,Polyester Blended,人體工學舒適設計,四面彈,單向導溼快乾,all/any Spandex,,,,,,,,,
women,Pants,2019-12-08,45,Outdoor Gear Women's Crest Shell Pants,outdoor_gear,44.99,https://www.dickssportinggoods.com/p/outdoor-gear-womens-crest-shell-pants-15ogewwcrstpntxxxaoa/15ogewwcrstpntxxxaoa,Polyamide(Nylon) Blended,撥水,,,,,,,,,,,,,,,
