,Gender,Listed_Date,Ranking,Name,Brand,Price,Url,Material_1,Material_2,Material_3,Feature_1,Feature_2,Feature_3,Feature_4,Material_4,Feature_5,Feature_6,Material_5,Feature_7,Material_6,Feature_8,Feature_9
38,women,2019-01-06,39,"NIRLON Yoga Pants for Women Best Black Leggings Straight Leg 28""/30""/32""/34"" Inseam Length Regular & Plus Size Petite/Tall",nirlon,18.79,https://www.amazon.com/NIRLON-Leggings-Straight-Inseam-Regular/dp/B0797L6V5N,Polyester Blended,Cotton Blended,Spandex <= 10%,提升運動效能設計,涼爽透氣,保暖禦寒,,all/any Spandex,,,,,,,
39,women,2019-01-06,40,"Yogipace Women's 34"" Inseam High Rise/Mid Rise Goddess Extra Long Leggings Yoga Over The Heel Legging - Tall Length",yogipace,28.99,https://www.amazon.com/Yogipace-Womens-Goddess-Leggings-Legging/dp/B07BJKRGLF,Spandex 11~20%,Cotton Blended,Polyester Blended,單向導溼快乾,四面彈,,,all/any Spandex,,,Polyamide(Nylon) Blended,,,,
40,women,2019-01-06,41,ODODOS Power Flex Yoga Pants Tummy Control Workout Leggings 4 Way Stretch Yoga Pants With Pockets,ododos,14.98,https://www.amazon.com/ODODOS-Control-Workout-Leggings-Stretch/dp/B071Y4CY9G,Polyester Blended,all/any Spandex,Polyamide(Nylon) Blended,單向導溼快乾,四面彈,抗菌功能,,,,,,,,,
41,women,2019-01-06,42,MUMUWU Women Yoga Pants Printed High Waist Power Flex Capris Workout Leggings for Fitness Running,mumuwu,19.49,https://www.amazon.com/MUMUWU-Printed-Workout-Leggings-Fitness/dp/B07KFBGMF4,Spandex 11~20%,all/any Spandex,Polyester Blended,蒸發性涼感,數位印花,涼爽透氣,四面彈,,單向導溼快乾,,,,,,
42,women,2019-01-06,43,ALONG FIT Yoga Pants Women Cell Phone Pockets Side/Inner Compression Workout Leggings Tummy Control Yoga Leggings Capris,alongfit,15.24,https://www.amazon.com/ALONG-FIT-Pockets-Compression-Leggings/dp/B07D15HBRY,Polyester Blended,,,提升運動效能設計,涼爽透氣,單向導溼快乾,四面彈,,,,,,,,
43,women,2019-01-06,44,"THE GYM PEOPLE Thick High Waist Yoga Pants with Pockets, Tummy Control Workout Running Yoga Leggings for Women",thegympeople,20.99,https://www.amazon.com/GYM-PEOPLE-Pockets-Control-Leggings/dp/B07HQCCDFC,Cotton Blended,Polyamide(Nylon) Blended,Polyester Blended,蒸發性涼感,四面彈,單向導溼快乾,涼爽透氣,,舒適平滑縫合,提升運動效能設計,,舒適伸展,,,
44,women,2019-01-06,45,NIKE Women's Pro Tights,nike,76.29,https://www.amazon.com/NIKE-Pro-Dri-Fit-Training-Tights/dp/B077BG27NX,,,,涼爽透氣,單向導溼快乾,,,,,,,,,,
45,women,2019-01-06,46,"AFITNE Women’s High Waist Yoga Pants with Pockets, Tummy Control Workout Running 4 Way Stretch Yoga Leggings",afitne,19.94,https://www.amazon.com/AFITNE-Pockets-Control-Workout-Leggings/dp/B07JBC64WT,all/any Spandex,Spandex 11~20%,Polyamide(Nylon) Blended,舒適伸展,涼爽透氣,抗菌功能,單向導溼快乾,,四面彈,,,,,,
46,women,2019-01-06,47,"Persit Women's Premium Yoga Pants with Pockets, Non See-Through Tummy Control 4 Way Stretch High Waist Leggings",persit,18.45,https://www.amazon.com/Persit-Premium-Pockets-See-Through-Leggings/dp/B07JNN4DMC,Spandex 11~20%,all/any Spandex,Polyamide(Nylon) Blended,結構性透氣,四面彈,舒適伸展,單向導溼快乾,,涼爽透氣,,,,,,
47,women,2019-01-06,48,SweatyRocks Women's Mesh Panel Side High Waist Leggings Skinny Workout Yoga Pants,sweatyrocks,13.44,https://www.amazon.com/SweatyRocks-Womens-Leggings-Skinny-Workout/dp/B07CRWS7VH,all/any Spandex,Spandex <= 10%,Rayon Blended,結構性透氣,,,,,,,,,,,
